listing_no,title,price,location,street_address,erf_size,property_type,list_date,description,listing_url,scraped_at
117099203,Vacant Land / Plot for Sale in Lukenya,KSh 9 500 000,"Lukenya Machakos County, Lukenya, Athi River","Lukenya Machakos County, Lukenya",0.5 acres,Vacant Land / Plot,08 April 2026,"1/2 ACRE PLOT IN LUKENYA, ATHI RIVER: For Sale, 0.5 acre plot in a secure community within Lukenya. ? Ready title ? Situated in a gated, fenced perimeter ? 1 minute walk to Lukenya Getaway ? 2 minute walk to Daystar University ? Ideal for building retirement home, family home, holiday home Asking Price: Kes. 9.5",https://www.property24.co.ke/vacant-land-plot-for-sale-in-lukenya-117099203,2026-04-08 17:29:22 UTC
117099209,Vacant Land / Plot for Sale in Ngong,KSh 4 000 000,"Kibiko Kajiado County, Ngong, Ngong","Kibiko Kajiado County, Ngong",0.05 acres,Vacant Land / Plot,08 April 2026,50 by 100 plot for sale in ngong kibiku ngere road. Asking price ksh 4m slightly negotiable,https://www.property24.co.ke/vacant-land-plot-for-sale-in-ngong-117099209,2026-04-08 17:29:30 UTC
117097133,Vacant Land / Plot for Sale in Kajiado,KSh 850 000 000,"Namanga Road Kitengela, Kajiado, Kajiado","Namanga Road Kitengela, Kajiado",540 acres,Vacant Land / Plot,07 April 2026,"540 Acre conservancy for sale,inluding the owners 5 bedroom villa,ndege tatu 2 star hotel, 4 complete tractors with trailers, several cars,pickup as you can see from the pictures and many other things which are not captured in the photo and has 3 boreholes.The land is in kajiado county. kajiado namanga road near Basil town about 4Km from highway.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-kajiado-117097133,2026-04-08 17:29:35 UTC
117086508,Vacant Land / Plot for Sale in Karen,,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-karen-117086508,2026-04-08 17:29:41 UTC
117052333,Vacant Land / Plot for Sale in Konza,KSh 8 700 000,"Malili, Konza, Machakos","Malili, Konza",10 acres,Vacant Land / Plot,22 March 2026,"10-ACRES OF LAND ON SALE IN MALILI, KONZA NEAR MOMBASA ROAD Own 10-Acres of Land in Malili, Near Konza Technopolis City ( LESS than 5 KM on the highway and approximately 10 minutes drive ), Africa’s emerging Silicon Valley. This prime property is strategically located near Kenya's ""Silicon Valley,"" an innovation hub poised to transform the region. This is an incredible opportunity to invest in a fast-growing area with significant potential for future appreciation. Secure your Land in this groundbreaking urban and technological center. Asking price is Kshs. 870,000 per Acre.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-konza-117052333,2026-04-08 17:29:43 UTC
117051993,,,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-konza-117051993,2026-04-08 17:29:52 UTC
117052324,,,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-konza-117052324,2026-04-08 17:30:01 UTC
117091261,Vacant Land / Plot for Sale in Loresho,KSh 55 000 000,"Loresho Nairobi, Loresho, Nairobi","Loresho Nairobi, Loresho",0.45 acres,Vacant Land / Plot,03 April 2026,"Size of the plot 0.45 acres Property can be used for occupation but can also be redeveloped. Presently 3 bedrooms, master en-suite (typical Loresho house) with two servants quarters and an annex with more room Leasehold title Asking price 55m",https://www.property24.co.ke/vacant-land-plot-for-sale-in-loresho-117091261,2026-04-08 17:30:10 UTC
117101646,Vacant Land / Plot for Sale in Kikuyu,KSh 1 299 000,"Kiambu Kiambu County, Kikuyu, Kikuyu","Kiambu Kiambu County, Kikuyu",0.12 acres,Vacant Land / Plot,08 April 2026,"-The project is located in Thigio which is only 15 minutes drive from Kikuyu town and 1Km from the Tarmac. -The soil is suitable for construction and farming. and comes with : 1.Graded & murramed internal access roads 2.Concrete posts fencing 3.Estate gate 4.Trees in the estate 5.Water and electricity are in the neighborhood. -The minimum booking fee for each plot is Ksh. 150,000 only. -The price is all-inclusive, i.e., legal fees, stamp duty and title transfer fees with no hidden charges with an installment plan as well. -Daily free site visits from Kencom and Kikuyu Town,",https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117101646,2026-04-08 17:30:26 UTC
117055063,Vacant Land / Plot for Sale in Konza,KSh 7 500 000,"Malili Ke, Konza, Machakos","Malili KE, Konza",10 acres,Vacant Land / Plot,23 March 2026,"10-ACRES OF LAND ON SALE IN MALILI, KONZA OFF MOMBASA ROAD Own 10-Acres of Land in Malili, Near Konza Technopolis City ( LESS than 7 Km from Mombasa Road ), Africa’s emerging Silicon Valley. This prime property is strategically located near Kenya's ""Silicon Valley,"" an innovation hub poised to transform the region. This is an incredible opportunity to invest in a fast-growing area with significant potential for future appreciation. Secure your Land in this groundbreaking urban and technological center. Asking price is Kshs. 750,000 per Acre.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-konza-117055063,2026-04-08 17:30:27 UTC
117022224,Not Found,KSh 5 000 000,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-embu-117022224,2026-04-08 17:30:36 UTC
117026711,Vacant Land / Plot for Sale in Industrial Area,KSh 145 000 000,"Icd Rd Nairobi, Industrial Area, Nairobi","ICD Rd Nairobi, Industrial Area",6 acres,Vacant Land / Plot,14 March 2026,"Located in the highly sought-after Inland Container Depot (ICD) Industrial Area, this 6-acre parcel offers an excellent opportunity for logistics, warehousing, and manufacturing operations. This prime property sits within one of Nairobi’s most strategic industrial zones, providing easy access to major transport networks and key commercial hubs. Property Highlights: • ?? Location: ICD Industrial Area, Nairobi • ?? Size: 6 Acres • ?? Price: KSh 145 Million per acre • ?? Ideal for: Warehousing, logistics yards, manufacturing plants, or large-scale industrial development • ?? Excellent connectivity to major highways and transport routes • ?? Close proximity to the Inland Container Depot, making it perfect for import/export businesses This is a rare opportunity to secure large-scale industrial land in a rapidly growing logistics and distribution hub. Read more...",https://www.property24.co.ke/vacant-land-plot-for-sale-in-industrial-area-117026711,2026-04-08 17:30:49 UTC
117070731,Vacant Land / Plot for Sale in Kerarapon,KSh 16 000 000,"Kerarapon Primary School Mmj5+29, Kerarapon, Nairobi","Kerarapon Primary School MMJ5+29, Kerarapon",0.25 acres,Vacant Land / Plot,27 March 2026,"This is 1/4 an acre in a well developed area of Kerarapon Drive, off Ngong Road, for sale. The area is well developed, has tarmac to where the property is located and connected with water and power. For more details and viewing arrangements, kindly contact Talma Homes.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-kerarapon-117070731,2026-04-08 17:31:20 UTC
117070738,,,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-kerarapon-117070738,2026-04-08 17:31:27 UTC
117058077,Vacant Land / Plot for Sale in Karen,KSh 60 000 000,"Karen Karen, Karen, Nairobi","Karen Karen, Karen",5 acres,Vacant Land / Plot,24 March 2026,A prime ready tittle 5 acres selling at 6000000 per acre. Call 0733611823 to schedule a viewing,https://www.property24.co.ke/vacant-land-plot-for-sale-in-karen-117058077,2026-04-08 17:31:31 UTC
117074330,Vacant Land / Plot for Sale in Ngong,,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-ngong-117074330,2026-04-08 17:31:31 UTC
117072821,Vacant Land / Plot for Sale in Malindi,,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-malindi-117072821,2026-04-08 17:31:32 UTC
117089719,Vacant Land / Plot for Sale in Bahati,KSh 450 000,"Solai Nakuru County, Bahati, Nakuru","Solai Nakuru County, Bahati",0.12 acres,Vacant Land / Plot,02 April 2026,"- Plots ready to build a home in Nakuru , Bahati and its 15 drive off the Nakuru-Nyeri highway at Solai Market. -The soil type is ideal for a home and good for farming as well with schools( Ruiru Primary School, Solai Primary/Sec school), churches , Police psot and Hospital(Bahati District Hospital) withing the neighbourhood. -The size is 50 by 100 and comes with: >Perimeter Fence. >Graded access roads. >Estate Gate. >Water and Electricity on site. -Price covers Title Deed, Stamp duty Transfer Charges and Legal fees.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-bahati-117089719,2026-04-08 17:31:42 UTC
117089677,Vacant Land / Plot for Sale in Bahati,KSh 450 000,"Solai Nakuru County, Bahati, Nakuru","Solai Nakuru County, Bahati",0.12 acres,Vacant Land / Plot,02 April 2026,"- Plots ready to build a home in Nakuru , Bahati and its 15 drive off the Nakuru-Nyeri highway at Solai Market. -The soil type is ideal for a home and good for farming as well with schools( Ruiru Primary School, Solai Primary/Sec school), churches , Police psot and Hospital(Bahati District Hospital) withing the neighbourhood. -The size is 50 by 100 and comes with: >Perimeter Fence. >Graded access roads. >Estate Gate. >Water and Electricity on site. -Price covers Title Deed, Stamp duty Transfer Charges and Legal fees.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-bahati-117089677,2026-04-08 17:32:03 UTC
117089742,Vacant Land / Plot for Sale in Nakuru Town,KSh 450 000,"Bahati Nakuru County, Nakuru Town, Nakuru","Bahati Nakuru County, Nakuru Town",0.12 acres,Vacant Land / Plot,02 April 2026,"- Plots ready to build a home in Nakuru , Bahati and its 15 drive off the Nakuru-Nyeri highway at Solai Market. -The soil type is ideal for a home and good for farming as well with schools( Ruiru Primary School, Solai Primary/Sec school), churches , Police psot and Hospital(Bahati District Hospital) withing the neighbourhood. -The size is 50 by 100 and comes with: >Perimeter Fence. >Graded access roads. >Estate Gate. >Water and Electricity on site. -Price covers Title Deed, Stamp duty Transfer Charges and Legal fees.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-nakuru-town-117089742,2026-04-08 17:32:06 UTC
117052338,Vacant Land / Plot for Sale in Wote,KSh 1 600 000,"Wote Makueni County, Wote, Wote","Wote Makueni County, Wote",0.11 acres,Vacant Land / Plot,22 March 2026,50x100-PLOT ON SALE IN MAKUENI WOTE TOWN - CEREAL BOARD 50*100 Plot NEAR Cereal Board on sale. The plot is part of many adjacent plots of Land on sale. Location: # Near the Town # Excellent land for single or multiple residentency E.G construction of Residential Apartments or even guest houses. # Power available # Very near Wote CBD Asking price is Kshs. 1.6 Million,https://www.property24.co.ke/vacant-land-plot-for-sale-in-wote-117052338,2026-04-08 17:32:21 UTC
117052373,Vacant Land / Plot for Sale in Wote,KSh 1 800 000,"6mfj+vg Wote, Wote, Wote","6MFJ+VG Wote, Wote",4 acres,Vacant Land / Plot,22 March 2026,"4 - ACRES OF LAND ON SALE IN KAMUKUUTA - WOTE, MAKUENI Main Features of the land: 1. The land has flat, gentle slide terrain 2. No galleys 3. Soil- more than half red soil with the remaining part loam soil that is more red 4. Distance from Wote 15 to 20 minutes at current status of road 5. The land is off the Thwake road that is earmarked for tarmacking about 1.5 Km. 6. Prominent neighbors not mentioning names. 7. No one on land 8. Single Title ready for transfer on sale, No heritage complications Asking Price Kshs. 450,000 per acre.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-wote-117052373,2026-04-08 17:32:31 UTC
117102609,Vacant Land / Plot for Sale in Ngong,KSh 10 500 000,"Ngong Kajiado County, Ngong, Ngong","Ngong Kajiado County, Ngong",,Vacant Land / Plot,08 April 2026,"Located only 100mtrs from Olkeri Tarmac,ideal for home setup and Real Estate Development Asking Price-Ksh 10.5m Call/Whatsapp +254722799259 +254731219322",https://www.property24.co.ke/vacant-land-plot-for-sale-in-ngong-117102609,2026-04-08 17:32:38 UTC
117102175,Vacant Land / Plot for Sale in Ruiru,KSh 8 000 000,"Rvxr+4ch Tatu City, Ruiru, Ruiru","RVXR+4CH Tatu City, Ruiru",,Vacant Land / Plot,08 April 2026,"TATU CITY is a 5,000 Acre mixed used development controlled and its SPECIAL ECONOMIC ZONE. Invest in Porini Point 1 and 2 Bedroom Apartments with upto to 3 years payment plan. Porini point give you views of Tatu Sanctuary of giraffes,zebras and Antelopes.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-ruiru-117102175,2026-04-08 17:32:40 UTC
117052347,Vacant Land / Plot for Sale in Wote,KSh 600 000,"Wote Makueni County, Wote, Wote","Wote Makueni County, Wote",0.11 acres,Vacant Land / Plot,22 March 2026,"50x100-PLOT ON SALE IN MAKUENI WOTE TOWN 50*100 Plot 10 Minutes walk to Wote CBD on sale. The plot is part of many adjacent plots of Land on sale. Location: # Near the Town # Excellent land for single or multiple residentency E.G construction of Residential Apartments or even guest houses. # Power available # Very near Wote CBD Asking price is Kshs. 600,000",https://www.property24.co.ke/vacant-land-plot-for-sale-in-wote-117052347,2026-04-08 17:32:42 UTC
117064694,,,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-athi-river-117064694,2026-04-08 17:32:50 UTC
117064728,Vacant Land / Plot for Sale in Athi River,KSh 1 500 000,"Kinanie Machakos County, Athi River, Athi River","Kinanie Machakos County, Athi River",0.12 acres,Vacant Land / Plot,25 March 2026,"-Prime 50 by 100 Plots (residential land) strategically located in Kinanie, just 7 km from Mombasa road at Devki Steel along Mutongoni Road. -The property touches Mutongoni road which is currently being tarmaced from Mombasa road towards Joska. Its is in a Developed neighborhood just 1km from Kinanie shopping Centre and within Proximity to the upcoming Athi Holiday Resort & Leather City. --It has water, electricity, ready Title deed, access is tarmac road, Internet connection and sewer line. -The land is 15 Minutes drive from the Syokimau railways Station and 25 minutes drive from JKIA. - Installment plan is also available and the price Price is inclusive of Title processing Fees with no hidden fees.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-athi-river-117064728,2026-04-08 17:33:00 UTC
117058699,Vacant Land / Plot for Sale in Watamu,KSh 420 000 000,"Watamu Kilifi County, Watamu, Watamu","Watamu Kilifi County, Watamu",12 acres,Vacant Land / Plot,24 March 2026,"This premier 12- acre land parcel presents a rare and high value acquisition opportunity within the prestigious Jacaranda area. Strategically located in the immediate vicinity of St. Thomas, this property is situated in one of the region’s most sought-after and rapidly appreciating neighborhoods, characterized by its serene environment, established infrastructures, large-scale high-end development and institutional expansion At a competitive asking price of KSh 35 Million per acre.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-watamu-117058699,2026-04-08 17:33:05 UTC
117102497,Vacant Land / Plot for Sale in Ngong,KSh 10 500 000,"Olkeri Primary School Kajiado County, Ngong, Ngong","Olkeri Primary School Kajiado County, Ngong",,Vacant Land / Plot,08 April 2026,"Ngong,Olkeri. ? 1/4 and 1/8 acres for sale. ? Well beaconed plots. ? Ready freehold title deeds. ? Ready developed. ? Priced at 10.5m ?Near tarmac road. ?9meters from tamac. For viewing ?? 0759854759 #Tessproperties #ngong #forsale",https://www.property24.co.ke/vacant-land-plot-for-sale-in-ngong-117102497,2026-04-08 17:33:22 UTC
117083286,Vacant Land / Plot for Sale in Naivasha,KSh POA,"5967+w3x Moi S Lake Rd, Naivasha, Naivasha","5967+W3X Moi S Lake Rd, Naivasha",8 acres,Vacant Land / Plot,31 March 2026,"We have blocks of 8, 23, and 43 acres available for sale at Lake Naivasha. All blocks are flat and rectangular, and front Moi South Lake Road and the Lake Some blocks come with some houses Electricity and water are connected to these properties All the blocks have freehold title deeds The immediate road is tarmacked",https://www.property24.co.ke/vacant-land-plot-for-sale-in-naivasha-117083286,2026-04-08 17:33:32 UTC
116788993,,,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-ngong-116788993,2026-04-08 17:33:40 UTC
117042561,Vacant Land / Plot for Sale in Watamu,KSh 15 000 000,"Jxgm+2fm Watamu, Watamu, Watamu","JXGM+2FM Watamu, Watamu",1 900 m²,Vacant Land / Plot,18 March 2026,"A rare opportunity. The Ideal Land where to Build your Dream Mansion in Watamu, fully immmersed in the Mida Forest. Prestigious neighborwod. Fenced, with mature trees. Walking distance to the beach.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-watamu-117042561,2026-04-08 17:33:42 UTC
117043247,Vacant Land / Plot for Sale in Ongata Rongai,KSh 20 000 000,"Ongata Rongai Nairobi County, Ongata Rongai, Kajiado","Ongata Rongai Nairobi County, Ongata Rongai",16 m²,Vacant Land / Plot,19 March 2026,"Prime 16-acre parcel located in the serene and fast-growing area of Kandisi, Ongata Rongai. This expansive property offers excellent potential for both agricultural use and residential development, making it a perfect investment opportunity. The land features a , natural environment ideal for farming, subdivision into plots, or future real estate projects. Its strategic location ensures accessibility while still providing privacy and tranquility. Key Features: • Fertile land suitable for farming • Ideal for subdivision and residential development • Peaceful and secure neighborhood • High investment potential with growing demand in the area Asking Price: Ksh 20 Million (Negotiable) ?? Kandisi, Ongata Rongai For viewing and more details, contact us today.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-ongata-rongai-117043247,2026-04-08 17:33:43 UTC
117082761,Vacant Land / Plot for Sale in Kitisuru,KSh 110 000 000,"Kitisuru Nairobi, Kitisuru, Nairobi","Kitisuru Nairobi, Kitisuru",5 acres,Vacant Land / Plot,31 March 2026,"5 Acres Prime Development Land for Sale in Kitisuru, Nairobi Price: KSh 110,000,000 per acre Total Size: 5 Acres Location: Kitisuru, Nairobi Property Description This is a rare opportunity to acquire 5 acres of prime flat land in the prestigious suburb of Kitisuru, one of Nairobi’s most exclusive and high-demand locations. The property is ideally situated near top international schools, shopping centres, and key amenities, making it highly suitable for both residential and commercial development. The land is flat, well-drained, and easily accessible, offering excellent potential for large-scale projects. Ideal For • Gated community development (townhouses or villas) • High-end residential estate • Mixed-use or commercial development • Institutional projects (schools, embassies, offices) Key Features • Prime and secure neighbourhood • Flat terrain – ready for development • Close to international schools and malls • Excellent road access • Surrounded by luxury homes and developments • High capital appreciation area Investment Opportunity Large parcels of land in Kitisuru are scarce, making this property ideal for developers and investors seeking premium location and long-term value. Contact Details Contact us today to schedule a viewing or request more information. Serious buyers only. Read more...",https://www.property24.co.ke/vacant-land-plot-for-sale-in-kitisuru-117082761,2026-04-08 17:33:52 UTC
117051273,Vacant Land / Plot for Sale in Kerarapon,KSh 60 000 000,"Kerarapon Drive Karen, Kerarapon, Nairobi","Kerarapon Drive Karen, Kerarapon",10 acres,Vacant Land / Plot,21 March 2026,"This is a block of land in Kerarapon Drive area for sale. One can get from 1 - 10 acres. For more details and viewing arrangements, kindly contact Talma Homes.",https://www.property24.co.ke/vacant-land-plot-for-sale-in-kerarapon-117051273,2026-04-08 17:34:05 UTC
117091610,Vacant Land / Plot for Sale in Karen,KSh 520 000 000,"Koitobos Rd Nairobi, Karen, Nairobi","Koitobos Rd Nairobi, Karen",4321 m²,Vacant Land / Plot,03 April 2026,"Prime 4.5 Acres for Sale – Hardy, Karen Nestled in the prestigious and serene Hardy area of Karen, this exceptional 4.5-acre parcel presents a rare opportunity to own a slice of one of Nairobi’s most sought-after addresses. Surrounded by lush greenery, mature indigenous trees, and a tranquil environment, the land offers the perfect blend of privacy, exclusivity, and natural beauty. The property boasts flat, well-drained terrain, making it ideal for a luxury residential development, private estate, boutique villas, or a high-end investment project. Its generous size allows for flexible subdivision options while maintaining the charm and prestige that Hardy is known for. Strategically located with easy access to Karen Shopping Centre, international schools, top hospitals, and major roads, the land combines convenience with a peaceful countryside feel. Key Features: Prime location in Hardy, Karen 4.5 acres of usable, fertile land Mature trees and scenic surroundings Ideal for luxury homes or development Secure, quiet, and high-value neighborhood Excellent accessibility and infrastructure A rare investment opportunity in one of Nairobi’s most affluent and fast-appreciating locations. Read more...",https://www.property24.co.ke/vacant-land-plot-for-sale-in-karen-117091610,2026-04-08 17:34:06 UTC
117092311,Vacant Land / Plot for Sale in Ngong,KSh 14 000 000,"Ngong Kajiado County, Ngong, Ngong","Ngong Kajiado County, Ngong",,Vacant Land / Plot,04 April 2026,"For Sale: Prime Residential Land on Ngong Montet Road Discover a fantastic opportunity with this expansive red soil land located on Ngong Montet Road, perfect for residential and real estate development. The property boasts a strategic location with easy access to key amenities and breathtaking views of the surrounding landscape. With its rich, fertile soil, this land is not only ideal for building but also offers potential for lush gardens and landscaping. This land presents a unique investment opportunity for developers or individuals looking to build their dream home in a serene environment. Don’t miss your chance to be part of this growing community. Inquire today and secure your piece of paradise Asking Price-Ksh 14m Call/Whatsapp +254722799259 +254731219322",https://www.property24.co.ke/vacant-land-plot-for-sale-in-ngong-117092311,2026-04-08 17:34:08 UTC
117038467,Not Found,KSh 5 000 000,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-diani-117038467,2026-04-08 17:34:25 UTC
117051272,Vacant Land / Plot for Sale in Kerarapon,KSh 16 500 000,"Kerarapon Drive Karen, Kerarapon, Nairobi","Kerarapon Drive Karen, Kerarapon",0.25 acres,Vacant Land / Plot,21 March 2026,"This is 1/4 an acre in Kerarapon Drive area for sale. For more details and viewing arrangements, kindly contact Talma Homes",https://www.property24.co.ke/vacant-land-plot-for-sale-in-kerarapon-117051272,2026-04-08 17:34:41 UTC
117074278,,,,,,,,,https://www.property24.co.ke/vacant-land-plot-for-sale-in-joska-117074278,2026-04-08 17:34:45 UTC
